Loading training data...
    Train err  |   Test err  |   Alpha   |   Loss   
              0| 0.669014084507| 0.666666666667|            0.0|  877.016019762
              1| 0.591549295775| 0.638888888889|            0.0|   1117.0360263
              2| 0.669014084507| 0.666666666667|            0.0|  519.098153215
              3| 0.591549295775| 0.638888888889|            0.0|  656.013347744
              4| 0.739436619718| 0.694444444444|            0.0|  427.715923971
              5| 0.669014084507| 0.666666666667|            0.0|  505.320999145
              6| 0.591549295775| 0.638888888889|            0.0|  804.988122994
              7| 0.591549295775| 0.527777777778|            0.0|  244.049627496
              8| 0.591549295775| 0.638888888889|            0.0|  301.293440794
              9| 0.669014084507| 0.666666666667|            0.0|  524.419456964
             10| 0.739436619718| 0.694444444444|            0.0|  549.043155304
             11| 0.591549295775| 0.638888888889|            0.0|  694.953115023
             12| 0.669014084507| 0.666666666667|            0.0|  673.422093208
             13| 0.591549295775| 0.638888888889|            0.0|  367.558650802
             14| 0.739436619718| 0.694444444444|            0.0|  400.986657141
             15| 0.669014084507| 0.666666666667|            0.0|  453.464568326
             16| 0.591549295775| 0.638888888889|            0.0|  724.707919936
             17| 0.549295774648| 0.444444444444|            0.0|  285.572971332
             18| 0.591549295775| 0.638888888889|            0.0|  263.803669141
             19| 0.669014084507| 0.666666666667|            0.0|  491.664329439
             20| 0.739436619718| 0.694444444444|            0.0|  438.567327317
             21| 0.591549295775| 0.638888888889|            0.0|  602.818831154
             22| 0.669014084507| 0.666666666667|            0.0|  791.317073601
             23| 0.591549295775| 0.638888888889|            0.0|  300.620218798
             24| 0.683098591549| 0.611111111111|            0.0|  386.165452855
             25| 0.612676056338| 0.611111111111|            0.0|  271.961092596
             26| 0.591549295775| 0.638888888889|            0.0|  273.363100455
             27| 0.549295774648| 0.472222222222|            0.0|  469.169364578
             28| 0.598591549296| 0.638888888889|            0.0|  147.684576259
             29| 0.591549295775| 0.638888888889|            0.0|  198.727392886
             30| 0.661971830986| 0.666666666667|            0.0|  396.766510588
             31| 0.711267605634| 0.666666666667|            0.0|  344.465284913
             32| 0.584507042254| 0.638888888889|            0.0|  258.712090514
             33| 0.669014084507| 0.666666666667|            0.0|  410.649837272
             34| 0.739436619718| 0.694444444444|            0.0|  448.715042761
             35| 0.591549295775| 0.638888888889|            0.0|  484.940566598
             36| 0.669014084507| 0.666666666667|            0.0|  625.448893915
             37| 0.739436619718| 0.694444444444|            0.0|  466.311247153
             38| 0.591549295775| 0.638888888889|            0.0|    631.2714121
             39| 0.669014084507| 0.666666666667|            0.0|   694.76695051
             40| 0.591549295775| 0.638888888889|            0.0|  319.043436253
             41| 0.633802816901| 0.583333333333|            0.0|   287.19867114
             42| 0.577464788732| 0.638888888889|            0.0|  299.521977954
             43| 0.669014084507| 0.666666666667|            0.0|  359.446500323
             44| 0.711267605634|           0.75|            0.0|  459.961157018
             45| 0.605633802817| 0.694444444444|            0.0|  178.741286488
             46| 0.669014084507| 0.666666666667|            0.0|  380.563586828
             47| 0.584507042254| 0.638888888889|            0.0|  444.883140682
             48| 0.739436619718| 0.694444444444|            0.0|  258.704155465
             49|  0.43661971831| 0.444444444444|            0.0|   426.78301069
             50| 0.464788732394| 0.555555555556|            0.0|  279.513577159
             51| 0.598591549296| 0.583333333333|            0.0|  210.499518745
             52| 0.591549295775| 0.638888888889|            0.0|  370.959047118
             53| 0.725352112676| 0.694444444444|            0.0|  453.035502258
             54| 0.669014084507| 0.666666666667|            0.0|  430.891259217
             55| 0.591549295775| 0.638888888889|            0.0|  702.145725317
             56| 0.739436619718| 0.694444444444|            0.0|  364.891234942
             57| 0.647887323944| 0.638888888889|            0.0|  442.499010583
             58| 0.591549295775| 0.638888888889|            0.0|  643.157167187
             59| 0.633802816901| 0.611111111111|            0.0|  324.158889175
             60| 0.605633802817| 0.722222222222|            0.0|  299.676934312
             61|  0.62676056338| 0.611111111111|            0.0|  166.178530508
             62| 0.591549295775| 0.638888888889|            0.0|  297.017406248
             63| 0.492957746479| 0.444444444444|            0.0|  326.836927008
             64| 0.577464788732| 0.666666666667|            0.0|  212.456976709
             65| 0.612676056338| 0.583333333333|            0.0|  346.477267262
             66| 0.584507042254| 0.666666666667|            0.0|  277.697398111
             67| 0.640845070423| 0.638888888889|            0.0|  195.808145635
             68| 0.591549295775| 0.638888888889|            0.0|   375.99417007
             69| 0.739436619718| 0.694444444444|            0.0|  449.626708702
             70| 0.669014084507| 0.666666666667|            0.0|   473.01864132
             71| 0.591549295775| 0.638888888889|            0.0|  729.384242139
             72| 0.669014084507| 0.611111111111|            0.0|  263.006647967
             73| 0.415492957746| 0.444444444444|            0.0|  296.195942495
             74|  0.62676056338| 0.611111111111|            0.0|   178.82407068
             75| 0.577464788732| 0.638888888889|            0.0|  343.183989254
             76| 0.507042253521| 0.444444444444|            0.0|  196.864079009
             77| 0.591549295775| 0.638888888889|            0.0|  314.732043912
             78| 0.669014084507| 0.666666666667|            0.0|  517.731812121
             79| 0.739436619718| 0.694444444444|            0.0|  477.130835769
             80| 0.591549295775| 0.638888888889|            0.0|  639.426274668
             81| 0.669014084507| 0.666666666667|            0.0|  633.240409937
             82| 0.584507042254| 0.638888888889|            0.0|  317.811822244
             83| 0.669014084507| 0.611111111111|            0.0|  300.130386768
             84| 0.408450704225| 0.416666666667|            0.0|  311.031895204
             85| 0.408450704225| 0.416666666667|            0.0|  158.885738347
             86| 0.732394366197| 0.694444444444|            0.0|   233.90908239
             87| 0.485915492958| 0.555555555556|            0.0|  379.738964166
             88| 0.669014084507| 0.666666666667|            0.0|  380.755788808
