    Train err  |   Test err  |   Alpha
 0.605633802817| 0.583333333333|0.00260234573645
 0.654929577465| 0.694444444444|0.0110564017125
 0.654929577465| 0.694444444444|0.0113751235203
 0.577464788732| 0.638888888889| 0.011240244536
 0.591549295775| 0.666666666667| 0.011309300704
  0.62676056338| 0.638888888889|  0.01140396764
 0.669014084507| 0.694444444444| 0.011717012488
 0.521126760563|            0.5| 0.012409485483
 0.507042253521| 0.444444444444| 0.013094862359
 0.464788732394| 0.444444444444|0.0147428651426
 0.246478873239| 0.166666666667|0.0208026436647
 0.232394366197| 0.138888888889|0.0218800796501
 0.197183098592| 0.111111111111|0.0230084584235
 0.183098591549| 0.111111111111| 0.023459131098
 0.176056338028| 0.111111111111|0.0237014554089
 0.161971830986| 0.111111111111|0.0235958305589
 0.147887323944|0.0833333333333|0.0229396561419
 0.147887323944|0.0833333333333| 0.020623888326
 0.140845070423|0.0833333333333|0.0147264464159
 0.133802816901|0.0833333333333|0.0137099886623
 0.140845070423|0.0833333333333|0.00346463943793
 0.133802816901|0.0833333333333|0.00183530675312
 0.119718309859|0.0833333333333|-0.00345600315968
 0.105633802817|0.0555555555556|-0.00273417167663
 0.112676056338|0.0555555555556|-0.00184892779218
 0.112676056338|0.0555555555556|-0.00177476237702
 0.105633802817|0.0555555555556|-0.00231123683892
 0.105633802817|0.0555555555556|-0.00344880271487
 0.112676056338|0.0555555555556|-0.0125327657635
 0.112676056338|0.0833333333333|-0.0312519359625
 0.112676056338|0.0833333333333|-0.0771582414261
0.0845070422535|0.0833333333333|-0.135157306674
 0.112676056338|0.0277777777778|-0.152344570091
0.0915492957746|0.0833333333333|-0.189281192544
0.0985915492958|0.0833333333333|-0.206346377367
0.0915492957746|0.0833333333333|-0.211731748383
0.0915492957746|0.0833333333333|-0.223682095313
0.0845070422535|0.0833333333333|-0.246073784528
0.0845070422535| 0.111111111111|-0.293390057615
0.0845070422535|0.0833333333333|-0.380053703244
0.0845070422535|0.0833333333333|-0.385007124092
0.0915492957746|0.0833333333333|-0.483817092883
0.0985915492958|0.0833333333333|-0.555867634505
0.0845070422535|0.0555555555556|-0.726986834219
0.0915492957746|0.0833333333333|-0.755174100405
0.0985915492958|0.0833333333333|-0.722650496327
0.0985915492958|0.0833333333333|-0.746370785383
0.0774647887324|0.0555555555556|-0.834780841358
0.0704225352113|0.0555555555556| -0.90005545958
0.0704225352113|0.0555555555556|-0.884240111484
0.0704225352113|0.0555555555556|-0.880031008355
0.0704225352113|0.0555555555556|-0.878537502003
0.0704225352113|0.0555555555556|-0.880557148384
0.0704225352113|0.0555555555556|-0.895916195398
0.0774647887324|0.0555555555556| -0.95319742378
0.0633802816901|0.0555555555556| -1.10487466861
0.0633802816901|0.0555555555556| -1.42255024029
 0.056338028169|0.0555555555556| -1.43818578783
0.0492957746479|0.0555555555556|  -1.8185863081
 0.056338028169|0.0833333333333| -2.05405045595
 0.056338028169|0.0555555555556| -2.09113739335
0.0492957746479|0.0555555555556| -2.06934521308
0.0492957746479|0.0555555555556| -2.06996189781
0.0492957746479|0.0555555555556|  -2.0889508494
